,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,32.92,17.52,16.38,27.32,12.0,36.86,28.76,38.1,24.16,23.68
WR1,17.4,17.7,19.9,5.7,15.5,0.1,12.3,10.8,0.0,17.5
WR2,22.0,13.4,4.3,27.74,22.5,44.6,18.8,12.5,13.0,23.8
RB1,16.4,22.8,15.2,11.9,13.3,5.1,6.7,22.2,6.1,14.1
RB2,18.8,6.1,7.9,21.4,10.6,8.6,10.5,5.1,19.2,12.0
TE,17.0,16.9,12.8,10.5,1.9,8.1,11.0,12.2,5.3,14.5
W/R/T,27.3,11.9,3.6,6.1,53.0,18.2,11.0,25.3,31.7,24.3
BN1,2.82,15.62,0.0,0.0,0.8,0.0,1.3,6.8,0.0,-0.1
BN2,5.2,21.5,29.0,0.0,0.0,4.3,0.0,14.8,0.0,0.0
BN3,0.0,0.0,0.0,6.0,0.0,16.9,0.0,0.0,22.2,10.3
BN4,5.5,0.0,4.0,34.64,9.6,9.0,0.0,17.5,30.78,0.0
BN5,3.9,0.0,0.0,2.3,0.0,15.7,0.0,0.0,17.5,20.7
BN6,20.6,7.1,38.48,15.2,19.02,5.0,10.2,2.2,8.0,9.4
BN7,17.0,2.0,12.2,0.0,6.6,6.5,7.4,0.0,10.96,0.0
BN8,,,,,,,,,,
K,14.0,11.0,16.0,16.0,10.0,10.0,4.0,8.0,4.0,2.0
DEF,14.0,9.0,24.0,15.0,11.0,6.0,6.0,3.0,6.0,1.0
TotalPoints,179.82,126.32,120.08,141.66,149.8,137.56,109.06,137.2,109.46,132.88
