,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,31.78,17.64,24.9,17.32,20.44,15.0,27.5,25.7,21.82,14.4
WR1,11.1,24.7,19.5,13.0,31.0,41.6,12.3,9.4,4.7,13.9
WR2,24.5,8.0,33.9,7.3,18.1,28.2,9.3,24.9,5.2,15.6
RB1,19.9,23.7,6.1,17.6,19.8,12.6,28.5,9.7,27.7,15.6
RB2,25.1,35.9,16.1,2.6,2.9,14.5,5.6,24.6,12.1,3.7
TE,10.5,6.8,6.0,17.0,3.1,10.8,22.8,19.1,12.3,7.9
W/R/T,17.9,14.9,21.8,9.3,7.7,7.0,8.0,13.7,8.7,29.1
BN1,0.0,15.1,28.18,8.4,17.2,0.0,10.3,8.9,4.0,2.9
BN2,6.6,13.0,11.5,7.2,1.6,2.9,11.7,11.3,4.8,4.5
BN3,27.3,6.7,9.7,10.1,2.2,10.9,9.7,14.2,10.86,0.4
BN4,5.3,10.7,6.7,30.76,8.2,22.46,7.4,22.06,10.0,11.3
BN5,6.4,10.5,17.18,5.0,19.0,0.0,9.5,16.6,3.5,4.6
BN6,6.5,13.5,1.0,8.2,8.6,6.6,6.1,19.2,5.2,18.2
BN7,11.0,9.6,9.6,12.0,10.2,27.3,0.0,11.1,14.0,15.0
BN8,,,,,,,,,,
K,10.0,10.0,8.0,9.0,10.0,12.0,5.0,9.0,11.0,9.0
DEF,4.0,8.0,7.0,4.0,-4.0,8.0,3.0,17.0,11.0,3.0
TotalPoints,154.78,149.64,143.3,97.11999999999999,109.03999999999999,149.7,121.99999999999999,153.10000000000002,114.52,112.20000000000002
