,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,28.74,13.04,13.46,22.54,36.64,19.06,16.82,12.54,18.32,19.6
WR1,0.0,20.7,7.2,16.5,21.7,30.3,14.4,15.2,9.2,25.8
WR2,12.4,9.8,40.1,19.6,5.7,2.9,20.7,7.5,23.1,21.4
RB1,22.8,25.3,17.2,12.5,6.1,8.7,10.2,10.6,8.3,15.0
RB2,6.8,12.9,48.6,18.2,6.6,9.9,5.5,5.3,9.3,10.7
TE,7.7,13.5,10.4,24.9,4.9,3.3,6.2,16.1,2.5,14.1
W/R/T,28.4,5.1,1.6,5.9,7.3,8.6,19.8,26.8,7.3,5.6
BN1,0.0,18.94,0.0,0.0,1.5,10.6,2.9,0.0,7.3,0.0
BN2,0.0,22.0,0.0,0.8,13.2,12.2,17.2,0.0,7.78,0.0
BN3,0.0,0.0,13.3,8.4,3.1,22.6,13.1,0.0,0.0,13.9
BN4,0.0,7.3,11.3,18.86,6.8,10.1,20.1,11.7,0.0,0.0
BN5,10.1,0.0,23.22,3.9,0.0,12.0,0.0,13.7,0.0,0.0
BN6,2.0,15.4,0.0,0.0,0.0,15.6,14.7,13.1,4.4,22.8
BN7,10.62,18.0,1.8,15.0,6.1,21.0,0.0,0.0,16.2,4.0
BN8,,,,,,,,,,
K,5.0,14.0,3.0,3.0,3.0,7.0,8.0,8.0,1.0,13.0
DEF,-1.0,20.0,9.0,5.0,1.0,7.0,7.0,3.0,3.0,4.0
TotalPoints,110.84,134.33999999999997,150.56,128.14000000000001,92.94,96.75999999999999,108.62,105.03999999999999,82.02,129.2
