,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,14.4,17.44,16.48,25.64,31.28,1.6,5.96,8.9,33.12,19.8
WR1,16.2,6.1,27.7,20.0,16.0,18.1,27.4,35.1,9.1,10.5
WR2,25.8,19.4,17.0,4.5,11.2,10.2,3.6,10.1,19.9,26.0
RB1,6.2,6.2,38.5,10.0,17.3,10.9,26.6,13.9,6.2,11.8
RB2,17.5,5.4,10.2,25.3,4.9,24.3,36.6,23.9,2.9,5.5
TE,6.3,12.4,13.9,16.2,0.0,16.9,16.6,2.3,13.7,20.5
W/R/T,15.8,13.8,12.6,10.8,5.3,-0.78,18.1,10.9,26.9,57.9
BN1,6.9,0.0,17.1,13.3,0.0,5.6,0.0,7.0,13.54,3.1
BN2,0.0,0.0,17.0,7.8,1.9,5.0,9.3,17.7,13.5,3.1
BN3,0.0,8.8,0.0,0.0,23.2,23.7,4.7,0.0,28.3,17.7
BN4,4.1,0.0,11.5,0.6,0.0,17.7,6.1,0.0,9.3,4.9
BN5,4.8,8.3,18.5,26.18,0.0,0.0,15.4,0.0,19.14,12.3
BN6,10.3,14.9,24.3,12.3,8.7,6.2,12.7,7.4,4.7,8.0
BN7,17.0,1.4,14.7,,,7.1,3.6,18.52,0.0,5.0
BN8,,,,,,,,,,
K,21.0,9.0,2.0,5.0,10.0,8.0,12.0,2.0,5.0,6.0
DEF,15.0,14.0,14.0,9.0,5.0,0.0,15.0,16.0,14.0,6.0
TotalPoints,138.2,103.74,152.38000000000002,126.44,100.98,89.22,161.85999999999999,123.10000000000001,130.82,164.0
