,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,33.14,39.8,28.52,19.2,27.48,9.68,17.56,35.58,15.7,15.48
WR1,11.3,4.4,19.2,25.9,6.1,6.6,6.3,11.8,17.4,20.8
WR2,3.2,9.2,29.9,23.4,16.0,17.5,5.8,29.3,0.7,12.6
RB1,20.1,38.4,12.6,45.6,13.0,2.8,24.8,18.8,22.2,16.4
RB2,18.7,13.5,8.4,21.7,10.7,11.5,26.3,19.8,24.1,4.7
TE,28.5,9.3,27.0,7.0,24.4,9.2,3.9,17.7,14.3,12.5
W/R/T,7.0,19.0,17.1,24.0,18.2,1.4,7.8,6.1,21.0,21.8
BN1,25.5,13.0,34.5,0.0,19.7,6.3,9.6,20.0,16.3,20.1
BN2,0.0,18.2,12.4,20.2,0.0,28.4,3.7,0.0,14.5,-0.9
BN3,0.0,6.4,23.2,24.54,16.6,14.38,1.9,12.2,5.3,7.5
BN4,34.42,5.5,3.7,5.9,15.7,9.6,7.3,7.1,16.26,13.3
BN5,1.3,2.8,17.16,2.2,0.0,27.6,12.3,19.24,4.2,2.1
BN6,12.2,4.3,8.0,8.3,4.1,12.4,5.6,0.0,1.9,13.7
BN7K,,,,,,,,,,
DEF,5.0,13.0,5.0,9.0,4.0,2.0,14.0,4.0,4.0,12.0
BN7,8.1,1.4,10.2,2.6,9.4,3.4,0.0,7.6,4.1,15.0
K,13.0,6.0,13.0,5.0,8.0,3.0,11.0,16.0,9.0,17.0
TotalPoints,139.94,152.59999999999997,160.72,180.79999999999998,127.88000000000001,63.68,117.46000000000001,159.07999999999998,128.39999999999998,133.28
