,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,25.48,14.44,27.36,5.32,30.7,25.36,14.5,27.3,26.86,22.1
WR1,5.6,11.6,27.3,15.1,29.3,20.4,19.0,20.6,11.42,25.1
WR2,17.1,19.5,21.6,8.2,4.1,20.9,11.3,6.8,11.3,18.3
RB1,23.9,19.9,15.4,18.9,11.0,13.2,14.4,25.0,23.5,15.3
RB2,12.3,22.5,19.9,7.4,15.5,29.9,4.3,19.9,18.3,2.5
TE,15.8,2.8,14.1,24.8,21.0,1.6,17.6,3.0,12.3,9.5
W/R/T,10.1,15.4,27.9,8.4,8.4,3.2,12.9,19.3,10.0,5.3
BN1,25.6,0.0,19.3,0.0,4.9,7.0,4.6,15.8,13.0,0.0
BN2,0.0,0.0,18.32,0.0,21.8,0.0,0.0,0.0,30.1,1.6
BN3,16.7,19.8,0.0,0.0,0.0,0.0,0.0,0.0,17.58,2.7
BN4,4.2,24.2,4.6,0.0,10.9,5.0,0.0,0.0,7.4,3.4
BN5,21.2,20.2,0.8,4.9,5.7,14.12,10.2,8.5,10.7,4.8
BN6,14.9,6.1,20.1,0.0,19.84,6.8,14.9,12.8,5.2,10.4
BN7,0.0,11.0,-4.0,16.6,7.7,0.0,0.0,3.6,0.0,5.2
BN8,,,,,,,,,,
K,6.0,6.0,7.0,15.0,5.0,11.0,14.0,10.0,3.0,11.0
DEF,-2.0,8.0,-1.0,12.0,7.0,7.0,6.0,3.0,13.0,26.0
TotalPoints,114.27999999999999,120.14,159.56,115.12,132.0,132.56,114.0,134.89999999999998,129.68,135.1
