,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,20.48,10.98,16.08,5.8,20.6,18.04,28.24,28.92,32.0,29.56
WR1,14.0,4.1,18.9,2.0,14.1,13.4,10.3,16.6,4.5,5.5
WR2,14.5,11.7,5.2,12.9,20.9,11.8,2.1,24.3,6.5,9.8
RB1,12.2,15.5,14.9,13.1,20.9,28.4,5.5,9.7,12.0,17.2
RB2,9.6,3.9,40.4,4.0,26.1,11.5,15.3,27.3,7.7,1.4
TE,5.5,9.7,0.0,23.9,2.3,7.3,4.1,21.9,10.2,5.0
W/R/T,11.8,33.7,16.6,21.5,0.0,12.1,4.3,14.3,15.3,9.3
BN1,13.9,9.7,0.0,13.7,9.2,15.92,0.0,2.6,14.5,0.0
BN2,14.4,13.04,0.0,3.4,0.0,8.6,1.0,0.0,0.0,39.6
BN3,9.5,0.0,0.0,17.72,0.0,0.0,18.7,0.0,21.8,4.8
BN4,0.0,0.0,11.5,4.32,2.0,0.0,4.1,13.32,7.26,7.5
BN5,0.0,0.0,0.0,17.6,19.12,14.64,19.5,4.9,9.2,5.2
BN6,6.7,0.0,10.1,11.1,0.0,3.8,12.8,7.0,4.3,0.0
BN7,22.6,18.0,3.0,3.4,18.1,0.0,19.0,10.5,0.0,4.0
BN8,,,,,,,,,,
K,8.0,4.0,8.0,11.0,7.0,11.0,4.0,16.0,6.0,8.0
DEF,5.0,4.0,3.0,0.0,11.0,7.0,15.0,2.0,1.0,7.0
TotalPoints,101.08,97.58,123.07999999999998,94.19999999999999,122.89999999999999,120.53999999999998,88.83999999999999,161.02,95.2,92.76
