,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,16.02,6.36,30.1,23.5,19.32,32.74,26.68,17.42,20.44,4.96
WR1,3.4,15.3,13.0,14.2,9.8,34.1,13.5,0.0,19.5,19.2
WR2,10.7,15.4,15.8,25.6,21.5,3.5,35.2,19.2,11.5,27.3
RB1,3.1,17.7,5.9,23.8,0.0,13.8,17.6,20.0,8.7,16.4
RB2,5.3,22.5,23.9,27.1,15.4,3.7,1.4,10.8,22.8,3.0
TE,45.0,13.8,15.4,27.6,0.0,7.2,2.1,9.7,1.5,11.6
W/R/T,18.5,6.1,21.1,7.5,12.3,2.4,21.7,9.8,20.44,14.8
BN1,12.2,0.0,27.08,8.0,5.8,10.6,23.56,0.0,7.5,15.2
BN2,4.9,0.0,9.2,0.0,0.0,0.0,13.5,10.1,13.5,0.0
BN3,11.5,5.2,6.1,5.6,16.3,8.3,0.0,3.0,19.2,0.0
BN4,9.6,1.9,14.9,0.0,0.0,0.0,28.0,13.1,4.4,1.2
BN5,23.8,1.5,13.6,22.4,3.9,0.0,17.8,0.0,28.56,4.4
BN6,10.4,6.3,3.1,7.5,3.8,13.9,10.6,1.7,10.5,0.0
BN7,2.0,12.92,3.0,,,5.1,0.0,23.58,6.8,5.0
BN8,,,,,,,,,,
K,12.0,17.0,7.0,4.0,0.0,3.0,14.0,10.0,7.0,10.0
DEF,11.0,3.0,14.0,9.0,13.0,8.0,10.0,3.0,6.0,4.0
TotalPoints,125.02,117.16,146.20000000000002,162.3,91.32000000000001,108.44000000000001,142.18,99.92,117.88,111.25999999999999
