,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,20.08,27.74,7.62,22.74,22.52,14.64,15.54,20.26,17.68,19.2
WR1,13.4,5.9,13.6,15.9,34.5,23.6,2.6,14.0,19.4,10.1
WR2,16.2,25.5,23.1,17.5,32.3,17.2,5.6,21.8,18.1,17.6
RB1,9.1,10.5,20.2,17.1,2.4,9.6,11.4,3.2,11.4,12.9
RB2,9.5,13.4,25.0,8.6,20.7,15.9,17.4,3.9,9.1,14.1
TE,21.8,0.0,10.8,26.86,12.0,15.4,20.6,9.5,14.8,4.5
W/R/T,6.3,11.6,14.0,9.1,21.7,6.8,9.9,5.9,19.4,27.0
BN1,30.6,6.7,6.5,0.0,2.9,0.0,1.8,0.6,31.36,18.4
BN2,0.0,13.6,0.0,14.1,14.1,0.0,0.0,16.5,12.5,13.8
BN3,17.5,14.9,0.0,1.8,15.9,8.2,0.0,0.0,4.6,0.0
BN4,10.6,7.28,8.1,0.6,0.0,0.0,0.0,0.0,6.3,18.3
BN5,9.2,15.4,8.3,22.96,0.2,14.6,21.4,0.0,20.86,9.0
BN6,15.6,0.0,9.3,8.0,4.6,16.0,0.0,4.6,12.4,10.5
BN7,0.0,10.6,0.0,,,2.6,12.4,24.22,0.0,3.8
BN8,,,,,,,,,,
K,13.0,5.0,15.0,0.0,10.0,6.0,11.0,10.0,7.0,6.0
DEF,9.0,17.0,5.0,4.0,5.0,20.0,4.0,3.0,16.0,3.0
TotalPoints,118.38,116.64,134.32,121.8,161.12,129.14,98.04,91.56,132.88,114.39999999999999
