,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,24.7,29.48,32.24,24.52,40.0,23.5,14.18,12.18,18.06,23.52
WR1,21.4,3.3,19.0,4.2,12.3,11.6,28.3,16.3,9.9,23.7
WR2,12.6,25.7,16.7,14.2,17.6,6.3,8.3,14.9,11.9,17.4
RB1,14.7,44.7,8.5,16.6,18.4,8.9,24.0,31.3,17.8,7.8
RB2,12.6,9.3,27.0,7.4,9.3,4.2,16.1,10.6,14.4,24.9
TE,2.9,7.1,8.5,14.7,11.1,14.0,5.2,9.6,10.0,7.1
W/R/T,17.7,13.2,25.9,22.5,37.0,23.1,25.8,8.5,30.9,21.2
BN1,4.6,0.0,12.42,0.0,0.0,8.0,8.2,15.2,0.0,5.2
BN2,0.0,4.1,0.0,20.38,30.2,0.0,8.1,0.0,5.3,1.9
BN3,0.0,15.6,0.9,8.6,3.0,10.1,0.0,2.9,14.34,26.4
BN4,36.8,5.4,7.1,2.7,9.5,23.88,0.5,8.4,5.5,5.2
BN5,0.0,5.6,0.0,2.7,1.5,3.1,8.7,19.18,0.5,13.2
BN6,13.0,10.5,10.5,2.7,19.0,2.7,34.8,15.4,21.1,16.7
BN7,1.0,2.0,7.0,5.8,8.2,,,7.6,11.9,7.0
BN8,,,,,,,,,,
K,4.0,12.0,7.0,4.0,14.0,14.0,9.0,9.0,5.0,8.0
DEF,12.0,7.0,5.0,4.0,4.0,15.0,18.0,-3.0,14.0,26.0
TotalPoints,122.6,151.78,149.84,112.12,163.7,120.6,148.88,109.38,131.96,159.62
