,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,19.9,16.72,32.3,26.14,20.22,23.24,21.32,16.38,26.76,20.58
WR1,8.3,14.6,11.9,40.1,0.0,43.2,20.3,41.5,4.1,12.8
WR2,8.9,6.3,17.3,4.9,23.7,8.5,0.0,24.6,27.1,13.5
RB1,18.4,56.2,9.8,12.8,0.0,13.0,17.6,10.9,14.2,7.9
RB2,28.9,19.4,16.5,20.1,0.0,12.6,9.9,15.8,17.9,17.5
TE,16.2,7.9,6.3,22.8,12.0,14.0,13.6,13.3,14.1,6.8
W/R/T,27.4,6.9,21.7,4.9,7.4,4.6,29.32,13.7,10.8,10.5
BN1,0.0,16.9,0.68,0.0,0.0,23.4,23.2,9.0,0.0,0.0
BN2,20.1,0.0,16.2,2.4,6.2,8.8,7.3,12.5,0.0,14.5
BN3,11.4,3.9,12.5,3.4,9.4,9.4,21.9,8.7,0.0,19.9
BN4,6.8,12.1,33.9,0.0,16.1,15.6,9.76,14.2,0.0,19.4
BN5,9.4,0.0,0.0,23.64,0.0,29.92,19.8,8.0,0.0,14.6
BN6,0.0,0.0,26.5,10.4,0.0,2.7,4.7,11.02,18.34,12.0
BN7,11.0,3.0,10.0,,0.0,6.3,20.8,9.0,0.0,
BN8,,,,,,,,,,
K,2.0,8.0,7.0,1.0,2.0,10.0,15.0,9.0,4.0,5.0
DEF,6.0,6.0,6.0,9.0,0.0,3.0,0.0,7.0,-4.0,10.0
TotalPoints,136.0,142.02,128.8,141.74,65.32,132.14,127.03999999999999,152.17999999999998,114.96,104.58
