,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,13.04,27.96,37.66,18.32,25.86,2.12,30.22,34.14,7.7,37.82
WR1,15.4,8.9,9.3,0.0,2.6,11.2,12.3,25.7,19.1,30.0
WR2,21.6,4.0,32.3,17.0,9.1,16.1,21.0,2.5,22.3,18.4
RB1,6.8,18.4,25.2,24.8,9.3,6.0,14.6,8.9,5.8,7.2
RB2,10.0,19.5,26.9,29.2,0.0,10.9,2.9,11.9,14.3,24.1
TE,30.0,0.0,1.8,22.8,10.2,8.6,17.6,23.1,17.5,7.9
W/R/T,14.7,20.4,19.9,27.2,7.4,11.4,25.7,15.1,0.0,17.4
BN1,22.7,0.0,15.28,10.0,0.0,19.5,0.0,22.2,23.42,27.84
BN2,7.4,1.2,9.3,10.6,1.3,8.1,6.1,20.8,0.0,0.0
BN3,3.9,8.8,15.8,4.0,7.8,4.2,12.6,19.2,0.0,20.3
BN4,0.0,2.9,0.0,20.34,2.3,21.5,12.16,9.8,15.1,13.6
BN5,0.0,0.0,0.0,14.6,0.0,23.4,5.9,3.4,37.02,6.3
BN6,12.0,19.7,8.9,14.3,0.0,10.8,19.2,6.3,0.0,3.0
BN7,-2.0,31.2,15.0,,0.0,8.9,8.8,11.1,11.9,
BN8,,,,,,,,,,
K,11.0,12.0,11.0,7.0,10.0,3.0,2.0,9.0,8.0,7.0
DEF,2.0,2.0,8.0,9.0,2.0,0.0,10.0,3.0,6.0,10.0
TotalPoints,124.54,113.16,172.06,155.32,76.46000000000001,69.32000000000001,136.32,133.34,100.7,159.82000000000002
