,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,11.92,21.48,29.36,26.4,6.94,10.48,22.46,30.9,14.12,5.38
WR1,3.1,10.8,4.8,19.7,12.9,18.6,10.3,25.3,9.9,25.7
WR2,17.2,10.0,23.6,10.1,20.3,5.8,1.8,8.8,4.7,13.6
RB1,13.5,34.8,11.9,14.5,24.8,5.0,18.6,25.9,13.2,6.8
RB2,8.7,29.6,15.2,8.5,10.3,8.4,22.5,2.4,16.2,5.6
TE,6.7,5.8,3.3,4.7,9.5,3.5,13.1,4.8,7.3,13.1
W/R/T,8.6,6.1,5.4,23.6,11.6,15.86,22.5,22.7,5.9,5.1
BN1,0.0,10.7,0.0,0.0,0.0,14.3,17.9,22.6,2.1,21.5
BN2,0.0,0.0,0.0,0.0,0.0,31.84,2.0,4.9,13.0,4.6
BN3,8.72,0.0,9.6,0.0,0.0,0.2,0.0,0.0,5.1,0.0
BN4,8.7,0.0,6.0,0.4,21.3,0.0,2.7,19.6,0.0,15.2
BN5,0.0,5.7,0.0,12.52,13.2,0.0,4.2,11.7,10.78,6.7
BN6,14.4,10.7,3.4,10.0,4.9,6.3,19.0,0.0,12.1,5.7
BN7,1.0,1.5,23.04,,2.8,9.9,0.0,21.7,19.7,15.2
BN8,,,,,,,,,,
K,14.0,10.0,11.0,16.0,8.0,15.0,12.0,5.0,6.0,16.0
DEF,0.0,12.0,6.0,10.0,3.0,6.0,5.0,16.0,14.0,1.0
TotalPoints,83.72,140.57999999999998,110.56,133.5,107.33999999999999,88.64,128.26,141.8,91.32000000000001,92.27999999999999
