,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,23.14,16.72,0.0,30.86,21.62,25.84,0.0,18.46,16.56,10.26
WR1,24.2,14.3,18.1,9.3,20.2,24.5,27.3,0.0,16.4,22.6
WR2,8.1,17.7,26.4,8.6,6.9,8.7,4.4,0.0,0.0,9.9
RB1,8.9,22.4,36.2,9.0,14.1,16.0,0.0,18.8,0.0,21.4
RB2,3.3,30.5,19.0,24.5,15.4,1.7,10.3,23.6,12.3,0.0
TE,14.5,0.0,16.3,27.6,4.3,3.8,0.0,10.3,10.1,8.3
W/R/T,4.4,10.4,0.0,4.0,10.2,6.1,9.1,0.0,0.0,26.1
BN1,29.6,0.0,14.36,7.2,0.0,8.1,9.9,15.0,0.0,21.38
BN2,11.5,4.9,3.6,3.9,0.5,26.3,0.0,0.0,7.9,12.1
BN3,6.5,6.5,0.0,3.8,0.0,0.0,2.7,0.0,0.0,9.9
BN4,23.5,6.2,0.9,17.1,15.1,0.0,5.36,0.0,0.0,4.5
BN5,0.0,15.58,0.0,5.5,0.0,15.64,7.2,5.1,16.48,4.4
BN6,8.5,1.6,7.9,9.4,0.0,13.0,0.0,13.9,6.0,0.0
BN7,8.0,7.2,17.0,,1.7,2.8,16.0,25.6,2.2,
BN8,,,,,,,,,,
K,6.0,8.0,14.0,3.0,9.0,2.0,10.0,0.0,9.0,9.0
DEF,21.0,0.0,18.0,12.0,0.0,-4.0,4.0,14.0,0.0,9.0
TotalPoints,113.54,120.02000000000001,148.0,128.85999999999999,101.72,84.64,65.1,85.16000000000001,64.35999999999999,116.56
