,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Kyler Murray,Dak Prescott,Josh Allen,Aaron Rodgers,Patrick Mahomes,Carson Wentz,Lamar Jackson,Cam Newton,Deshaun Watson,Drew Brees
WR1,Robert Woods,Marquise Brown,DK Metcalf,Julian Edelman,Adam Thielen,CeeDee Lamb,Allen Robinson II,JuJu Smith-Schuster,Odell Beckham Jr.,DeAndre Hopkins
WR2,Terry McLaurin,Cooper Kupp,Calvin Ridley,Mike Evans,Amari Cooper,Darius Slayton,Keelan Cole Sr.,Stefon Diggs,DeVante Parker,Chris Godwin
RB1,Miles Sanders,Alvin Kamara,Joe Mixon,Aaron Jones,Clyde Edwards-Helaire,Kenyan Drake,Nick Chubb,Austin Ekeler,Ezekiel Elliott,Melvin Gordon III
RB2,David Johnson,Josh Jacobs,Derrick Henry,David Montgomery,Ronald Jones II,Leonard Fournette,Devin Singletary,Chris Carson,Kareem Hunt,James Conner
TE,Darren Waller,Hayden Hurst,Mike Gesicki,Travis Kelce,Jonnu Smith,Zach Ertz,Mark Andrews,Noah Fant,Hunter Henry,Logan Thomas
W/R/T,Kenny Golladay,Jonathan Taylor,Dalvin Cook,Tyler Boyd,Tyler Lockett,Mike Davis,Michael Gallup,DJ Moore,James Robinson,Tyreek Hill
BN1,Russell Gage,Julio Jones,Matt Ryan,George Kittle,John Brown,Tyler Higbee,T.Y. Hilton,Todd Gurley II,Michael Thomas,Evan Engram
BN2,Raheem Mostert,Jared Cook,DJ Chark Jr.,Joe Burrow,Keenan Allen,Davante Adams,Marvin Jones Jr.,A.J. Brown,Brandin Cooks,Malcolm Brown
BN3,Jamison Crowder,Emmanuel Sanders,Diontae Johnson,A.J. Green,Mark Ingram II,Nyheim Hines,Zack Moss,D'Andre Swift,Baker Mayfield,Allen Lazard
BN4,Russell Wilson,Chase Edmonds,Tarik Cohen,Darrel Williams,Adrian Peterson,Tom Brady,Boston Scott,J.K. Dobbins,Austin Hooper,Joshua Kelley
BN5,Cam Akers,N'Keal Harry,Christian Kirk,Jamaal Williams,Marquez Valdes-Scantling,DeSean Jackson,Preston Williams,Ben Roethlisberger,Tony Pollard,Sammy Watkins
BN6,Antonio Gibson,Robby Anderson,Jerry Jeudy,Alexander Mattison,Darrell Henderson Jr.,Mike Williams,Rex Burkhead,Will Fuller V,Brandon Aiyuk,Jerick McKinnon
BN7,Devonta Freeman,Dion Lewis,Kansas City,KJ Hamler,Tre'Quan Smith,,,Jarvis Landry,Corey Davis,Baltimore
BN8,,,,,,,,,,
K,Harrison Butker,Rodrigo Blankenship,Zane Gonzalez,Jason Myers,Robbie Gould,Matt Prater,Greg Zuerlein,Justin Tucker,Michael Badgley,Younghoe Koo
DEF,San Francisco,Pittsburgh,Buffalo,Arizona,Los Angeles,New England,Tampa Bay,New Orleans,Cleveland,Indianapolis
