,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Russell Wilson,Justin Herbert,Josh Allen,Aaron Rodgers,Patrick Mahomes,Derek Carr,Lamar Jackson,Kyler Murray,Deshaun Watson,Carson Wentz
WR1,Terry McLaurin,Cooper Kupp,DK Metcalf,Tyler Boyd,Keenan Allen,Davante Adams,Allen Robinson II,Will Fuller V,Michael Thomas,DeAndre Hopkins
WR2,A.J. Brown,Julio Jones,Calvin Ridley,Marvin Jones Jr.,Adam Thielen,Jakobi Meyers,Corey Davis,Stefon Diggs,Brandin Cooks,Justin Jefferson
RB1,Miles Sanders,Alvin Kamara,Derrick Henry,Aaron Jones,Clyde Edwards-Helaire,Kenyan Drake,Nick Chubb,Chris Carson,Kareem Hunt,Cam Akers
RB2,Raheem Mostert,Jonathan Taylor,Dalvin Cook,David Montgomery,Darrell Henderson Jr.,Latavius Murray,Antonio Gibson,Austin Ekeler,James Robinson,Benny Snell Jr.
TE,Darren Waller,Eric Ebron,T.J. Hockenson,Travis Kelce,Kyle Rudolph,Evan Engram,Trey Burton,Noah Fant,Hunter Henry,Dallas Goedert
W/R/T,Robert Woods,Devontae Booker,Diontae Johnson,Sammy Watkins,Tyler Lockett,Darius Slayton,Jamison Crowder,JuJu Smith-Schuster,Jarvis Landry,Tyreek Hill
BN1,Nyheim Hines,Josh Jacobs,Matthew Stafford,Allen Lazard,Chase Claypool,CeeDee Lamb,Cam Newton,DJ Moore,DeVante Parker,Melvin Gordon III
BN2,Giovani Bernard,Robby Anderson,Duke Johnson,Mike Evans,Ronald Jones II,Mike Davis,Wayne Gallman Jr.,Gus Edwards,Ezekiel Elliott,Antonio Brown
BN3,Jalen Reagor,Sterling Shepard,DJ Chark Jr.,Jamaal Williams,Amari Cooper,Mike Williams,Rob Gronkowski,Todd Gurley II,Ben Roethlisberger,Chris Godwin
BN4,Michael Pittman Jr.,Hayden Hurst,Marquise Brown,A.J. Green,John Brown,Leonard Fournette,Cole Beasley,J.K. Dobbins,Austin Hooper,Christian Kirk
BN5,Mike Gesicki,Jerry Jeudy,Deebo Samuel,Kirk Cousins,Mark Ingram II,Tom Brady,J.D. McKissic,D'Andre Swift,Ryan Tannehill,Ito Smith
BN6,David Johnson,Chase Edmonds,James White,Le'Veon Bell,Jordan Wilkins,Robert Tonyan,Tee Higgins,Keelan Cole Sr.,Damien Harris,Ryan Succop
BN7,San Francisco,Matt Ryan,Chicago,,,Zach Ertz,Curtis Samuel,Taysom Hill,Sony Michel,Kansas City
BN8,,,,,,,,,,
K,Younghoe Koo,Harrison Butker,Rodrigo Blankenship,Matt Prater,Joey Slye,Wil Lutz,Jason Sanders,Justin Tucker,Mason Crosby,Tyler Bass
DEF,Los Angeles,Pittsburgh,Miami,Seattle,Minnesota,Las Vegas,Green Bay,Houston,New Orleans,Baltimore
