,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Russell Wilson,Justin Herbert,Josh Allen,Aaron Rodgers,Patrick Mahomes,Derek Carr,Lamar Jackson,Kyler Murray,Ben Roethlisberger,Jalen Hurts
WR1,A.J. Brown,Cooper Kupp,DK Metcalf,Tyler Boyd,Keenan Allen,Davante Adams,Allen Robinson II,Stefon Diggs,Jarvis Landry,DeAndre Hopkins
WR2,Robert Woods,Robby Anderson,Calvin Ridley,Mike Evans,Adam Thielen,Jakobi Meyers,Corey Davis,JuJu Smith-Schuster,Brandon Aiyuk,Antonio Brown
RB1,Raheem Mostert,Alvin Kamara,Derrick Henry,Aaron Jones,Clyde Edwards-Helaire,Kenyan Drake,Nick Chubb,Chris Carson,Kareem Hunt,Cam Akers
RB2,Miles Sanders,Jonathan Taylor,Dalvin Cook,David Montgomery,Ronald Jones II,Latavius Murray,Wayne Gallman Jr.,Austin Ekeler,James Robinson,Melvin Gordon III
TE,Darren Waller,Eric Ebron,T.J. Hockenson,Travis Kelce,Jonnu Smith,Evan Engram,Mark Andrews,Logan Thomas,Hunter Henry,Dallas Goedert
W/R/T,Terry McLaurin,Josh Jacobs,Diontae Johnson,Marvin Jones Jr.,Tyler Lockett,Darius Slayton,J.D. McKissic,J.K. Dobbins,Brandin Cooks,Tyreek Hill
BN1,Giovani Bernard,Julio Jones,Matthew Stafford,Sammy Watkins,Kyle Rudolph,CeeDee Lamb,Antonio Gibson,D'Andre Swift,Ezekiel Elliott,Justin Jefferson
BN2,Nyheim Hines,Devontae Booker,DJ Chark Jr.,Allen Lazard,Darrell Henderson Jr.,Mike Davis,Tee Higgins,Noah Fant,Deshaun Watson,Matt Ryan
BN3,Michael Pittman Jr.,Sterling Shepard,Marquise Brown,Jamaal Williams,Chase Claypool,Mike Williams,Jamison Crowder,DJ Moore,Michael Thomas,James Conner
BN4,Mike Gesicki,Jerry Jeudy,Myles Gaskin,Kirk Cousins,Amari Cooper,Leonard Fournette,Cam Newton,Gus Edwards,DeVante Parker,Chris Godwin
BN5,Christian McCaffrey,DeAndre Washington,Duke Johnson,Le'Veon Bell,John Brown,Tom Brady,Rob Gronkowski,Todd Gurley II,Austin Hooper,Christian Kirk
BN6,Jeff Wilson Jr.,Benny Snell Jr.,Nelson Agholor,Keke Coutee,Mark Ingram II,Robert Tonyan,Cole Beasley,Taysom Hill,Ryan Tannehill,Tampa Bay
BN7,San Francisco,Tony Pollard,Dallas,,Jordan Wilkins,Zach Ertz,Curtis Samuel,T.Y. Hilton,Damien Harris,
BN8,,,,,,,,,,
K,Younghoe Koo,Tyler Bass,Rodrigo Blankenship,Matt Prater,Joey Slye,Wil Lutz,Jason Sanders,Justin Tucker,Mason Crosby,Ryan Succop
DEF,Los Angeles,Pittsburgh,Cleveland,Seattle,Minnesota,Las Vegas,Indianapolis,Kansas City,Tennessee,Baltimore
