,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Russell Wilson,Justin Herbert,Josh Allen,Aaron Rodgers,Patrick Mahomes,Derek Carr,Cam Newton,Kyler Murray,Deshaun Watson,Carson Wentz
WR1,Terry McLaurin,Cooper Kupp,DK Metcalf,Mike Evans,Keenan Allen,Davante Adams,Allen Robinson II,Will Fuller V,Michael Thomas,DeAndre Hopkins
WR2,A.J. Brown,Robby Anderson,Calvin Ridley,Tyler Boyd,Chase Claypool,Jakobi Meyers,Travis Fulgham,DJ Moore,DeVante Parker,Justin Jefferson
RB1,Miles Sanders,Alvin Kamara,Derrick Henry,Aaron Jones,Ronald Jones II,Mike Davis,Nick Chubb,Chris Carson,Kareem Hunt,Kerryon Johnson
RB2,Nyheim Hines,Josh Jacobs,Dalvin Cook,David Montgomery,Clyde Edwards-Helaire,Kenyan Drake,Antonio Gibson,Austin Ekeler,Ezekiel Elliott,Brian Hill
TE,Darren Waller,Eric Ebron,T.J. Hockenson,Travis Kelce,Jonnu Smith,Evan Engram,Rob Gronkowski,Noah Fant,Hunter Henry,Dallas Goedert
W/R/T,Robert Woods,Sterling Shepard,Diontae Johnson,Marvin Jones Jr.,Tyler Lockett,Kendall Hinton,Wayne Gallman Jr.,Stefon Diggs,James Robinson,Tyreek Hill
BN1,Giovani Bernard,Julio Jones,Matthew Stafford,Jamaal Williams,Adam Thielen,Mike Williams,Lamar Jackson,Gus Edwards,Ben Roethlisberger,Melvin Gordon III
BN2,Christian McCaffrey,Jonathan Taylor,Duke Johnson,Sammy Watkins,Darrell Henderson Jr.,Leonard Fournette,Cole Beasley,JuJu Smith-Schuster,Brandin Cooks,Antonio Brown
BN3,Kenny Golladay,Hayden Hurst,DJ Chark Jr.,A.J. Green,Amari Cooper,Tom Brady,J.D. McKissic,Todd Gurley II,Jarvis Landry,Chris Godwin
BN4,Jalen Reagor,Jerry Jeudy,Mike Gesicki,Alexander Mattison,John Brown,Robert Tonyan,Jamison Crowder,J.K. Dobbins,Austin Hooper,Christian Kirk
BN5,Michael Pittman Jr.,Chase Edmonds,Marquise Brown,Kirk Cousins,Mark Ingram II,Darius Slayton,Tee Higgins,D'Andre Swift,Ryan Tannehill,Benny Snell Jr.
BN6,Raheem Mostert,Matt Ryan,Deebo Samuel,Allen Lazard,Jordan Wilkins,Jimmy Graham,Curtis Samuel,Keelan Cole Sr.,Damien Harris,Baltimore
BN7,San Francisco,Emmanuel Sanders,James White,,,CeeDee Lamb,Anthony McFarland Jr.,Taysom Hill,Sony Michel,Kansas City
BN8,,,,,,,,,,
K,Younghoe Koo,Harrison Butker,Rodrigo Blankenship,Matt Prater,Joey Slye,Wil Lutz,Jason Sanders,Justin Tucker,Mason Crosby,Ryan Succop
DEF,Los Angeles,Pittsburgh,Miami,Seattle,Minnesota,Cleveland,Green Bay,Houston,New Orleans,Buffalo
