,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Russell Wilson,Justin Herbert,Josh Allen,Aaron Rodgers,Patrick Mahomes,Derek Carr,Lamar Jackson,Kyler Murray,Deshaun Watson,Matt Ryan
WR1,A.J. Brown,Cooper Kupp,DK Metcalf,Tyler Boyd,Keenan Allen,Davante Adams,Allen Robinson II,Stefon Diggs,Michael Thomas,DeAndre Hopkins
WR2,Robert Woods,Robby Anderson,Calvin Ridley,Mike Evans,Adam Thielen,Jakobi Meyers,Corey Davis,JuJu Smith-Schuster,Brandin Cooks,Justin Jefferson
RB1,Miles Sanders,Alvin Kamara,Derrick Henry,Aaron Jones,Clyde Edwards-Helaire,Kenyan Drake,Nick Chubb,Chris Carson,Kareem Hunt,Cam Akers
RB2,Raheem Mostert,Jonathan Taylor,Dalvin Cook,David Montgomery,Ronald Jones II,Latavius Murray,Wayne Gallman Jr.,Austin Ekeler,James Robinson,James Conner
TE,Darren Waller,Eric Ebron,T.J. Hockenson,Travis Kelce,Jonnu Smith,Evan Engram,Mark Andrews,Logan Thomas,Hunter Henry,Dallas Goedert
W/R/T,Terry McLaurin,Josh Jacobs,Diontae Johnson,Marvin Jones Jr.,Tyler Lockett,Darius Slayton,J.D. McKissic,J.K. Dobbins,Jarvis Landry,Tyreek Hill
BN1,Nyheim Hines,Julio Jones,Matthew Stafford,Sammy Watkins,Kyle Rudolph,CeeDee Lamb,Tee Higgins,D'Andre Swift,DeVante Parker,Jalen Hurts
BN2,Giovani Bernard,Devontae Booker,DJ Chark Jr.,Allen Lazard,Darrell Henderson Jr.,Mike Davis,Antonio Gibson,Noah Fant,Ezekiel Elliott,Melvin Gordon III
BN3,Michael Pittman Jr.,Sterling Shepard,Marquise Brown,Jamaal Williams,Chase Claypool,Mike Williams,Jamison Crowder,DJ Moore,Ben Roethlisberger,Antonio Brown
BN4,Mike Gesicki,Jerry Jeudy,Deebo Samuel,Kirk Cousins,Amari Cooper,Leonard Fournette,Cam Newton,Gus Edwards,Austin Hooper,Chris Godwin
BN5,David Johnson,Jared Goff,Myles Gaskin,Le'Veon Bell,John Brown,Tom Brady,Rob Gronkowski,Todd Gurley II,Ryan Tannehill,Christian Kirk
BN6,San Francisco,Ty Johnson,Duke Johnson,Keke Coutee,Mark Ingram II,Robert Tonyan,Cole Beasley,Taysom Hill,Damien Harris,Baltimore
BN7,,DeAndre Washington,Chicago,,Jordan Wilkins,Zach Ertz,Curtis Samuel,T.Y. Hilton,Sony Michel,
BN8,,,,,,,,,,
K,Younghoe Koo,Harrison Butker,Rodrigo Blankenship,Matt Prater,Joey Slye,Wil Lutz,Jason Sanders,Justin Tucker,Mason Crosby,Ryan Succop
DEF,Los Angeles,Pittsburgh,Dallas,Seattle,Minnesota,Las Vegas,Green Bay,Kansas City,New Orleans,Tampa Bay
