,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,Kyler Murray,Dak Prescott,Matt Ryan,Aaron Rodgers,Patrick Mahomes,Tom Brady,Lamar Jackson,Cam Newton,Deshaun Watson,Drew Brees
WR1,Robert Woods,Julio Jones,DK Metcalf,Julian Edelman,Adam Thielen,Davante Adams,Allen Robinson II,JuJu Smith-Schuster,Odell Beckham Jr.,DeAndre Hopkins
WR2,Scotty Miller,Marquise Brown,Calvin Ridley,Mike Evans,Amari Cooper,CeeDee Lamb,T.Y. Hilton,Stefon Diggs,Parris Campbell,Corey Davis
RB1,Miles Sanders,Alvin Kamara,Joe Mixon,Aaron Jones,Clyde Edwards-Helaire,Saquon Barkley,Christian McCaffrey,Austin Ekeler,Ezekiel Elliott,Melvin Gordon III
RB2,Raheem Mostert,Josh Jacobs,Derrick Henry,David Montgomery,Ronald Jones II,Kenyan Drake,Nick Chubb,Chris Carson,Kareem Hunt,Malcolm Brown
TE,Darren Waller,Jared Cook,Mike Gesicki,Dallas Goedert,Jonnu Smith,Zach Ertz,Mark Andrews,Noah Fant,Hunter Henry,Evan Engram
W/R/T,David Johnson,Jonathan Taylor,Dalvin Cook,Travis Kelce,John Brown,Nyheim Hines,Michael Gallup,Todd Gurley II,James Robinson,Tyreek Hill
BN1,Terry McLaurin,Cooper Kupp,Josh Allen,George Kittle,Tyler Lockett,Darius Slayton,Devin Singletary,DJ Moore,DeVante Parker,James Conner
BN2,Kenny Golladay,Hayden Hurst,DJ Chark Jr.,Tyler Boyd,Rob Gronkowski,Tyler Higbee,Zack Moss,A.J. Brown,Brandin Cooks,Benny Snell Jr.
BN3,Jamison Crowder,Jordan Howard,Diontae Johnson,Joe Burrow,Keenan Allen,Carson Wentz,Sony Michel,D'Andre Swift,Latavius Murray,Allen Lazard
BN4,Russell Wilson,Sterling Shepard,Tarik Cohen,A.J. Green,Mark Ingram II,Courtland Sutton,Boston Scott,J.K. Dobbins,Baker Mayfield,Joshua Kelley
BN5,Cam Akers,Emmanuel Sanders,Matthew Stafford,Darrel Williams,James White,Leonard Fournette,Marvin Jones Jr.,Ben Roethlisberger,Austin Hooper,Sammy Watkins
BN6,Antonio Gibson,Chase Edmonds,Christian Kirk,Jamaal Williams,Adrian Peterson,DeSean Jackson,Preston Williams,Will Fuller V,Tony Pollard,Jerick McKinnon
BN7K,,,,,,,,,,
DEF,San Francisco,Pittsburgh,Kansas City,Arizona,Minnesota,Buffalo,Tampa Bay,New Orleans,Cleveland,Chicago
BN7,Jalen Reagor,Henry Ruggs III,Jerry Jeudy,Alexander Mattison,Marquez Valdes-Scantling,Mike Williams,Anthony Miller,Jarvis Landry,Brandon Aiyuk,Baltimore
K,Harrison Butker,Wil Lutz,Zane Gonzalez,Jason Myers,Robbie Gould,Matt Prater,Greg Zuerlein,Justin Tucker,Michael Badgley,Younghoe Koo
