,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Russell Wilson,Justin Herbert,Josh Allen,Aaron Rodgers,Patrick Mahomes,Derek Carr,Lamar Jackson,Kyler Murray,Deshaun Watson,Jalen Hurts
WR1,A.J. Brown,Cooper Kupp,DK Metcalf,Mike Evans,Keenan Allen,Davante Adams,Allen Robinson II,Stefon Diggs,Brandon Aiyuk,DeAndre Hopkins
WR2,Robert Woods,Russell Gage,Calvin Ridley,Marvin Jones Jr.,Adam Thielen,Jakobi Meyers,Corey Davis,JuJu Smith-Schuster,Brandin Cooks,Antonio Brown
RB1,Miles Sanders,Alvin Kamara,Derrick Henry,Aaron Jones,Clyde Edwards-Helaire,Kenyan Drake,Nick Chubb,Chris Carson,Kareem Hunt,Melvin Gordon III
RB2,David Johnson,Jonathan Taylor,Dalvin Cook,David Montgomery,Ronald Jones II,Latavius Murray,Antonio Gibson,Austin Ekeler,Ezekiel Elliott,James Conner
TE,Darren Waller,Jordan Akins,T.J. Hockenson,Travis Kelce,Jonnu Smith,Evan Engram,Mark Andrews,Logan Thomas,Austin Hooper,Dallas Goedert
W/R/T,Jeff Wilson Jr.,Josh Jacobs,Diontae Johnson,Le'Veon Bell,Tyler Lockett,Darius Slayton,Jamison Crowder,J.K. Dobbins,Dare Ogunbowale,Tyreek Hill
BN1,Terry McLaurin,Robby Anderson,Matthew Stafford,Tyler Boyd,Kyle Rudolph,CeeDee Lamb,J.D. McKissic,D'Andre Swift,DeVante Parker,Cam Akers
BN2,Giovani Bernard,Julio Jones,DJ Chark Jr.,Sammy Watkins,Darrell Henderson Jr.,Mike Davis,Wayne Gallman Jr.,Noah Fant,Jarvis Landry,Justin Jefferson
BN3,Nyheim Hines,Devontae Booker,Marquise Brown,Allen Lazard,Chase Claypool,Mike Williams,Tee Higgins,DJ Moore,James Robinson,Matt Ryan
BN4,Michael Pittman Jr.,Jerry Jeudy,Myles Gaskin,Jamaal Williams,Amari Cooper,Leonard Fournette,Cam Newton,Gus Edwards,Hunter Henry,Chris Godwin
BN5,Mike Gesicki,DeAndre Washington,Duke Johnson,Kirk Cousins,John Brown,Tom Brady,Rob Gronkowski,Todd Gurley II,Michael Thomas,Christian Kirk
BN6,Christian McCaffrey,Benny Snell Jr.,Nelson Agholor,Keke Coutee,Mark Ingram II,Robert Tonyan,Cole Beasley,Taysom Hill,Ryan Tannehill,Tampa Bay
BN7,San Francisco,Tony Pollard,Dallas,,Jordan Wilkins,Zach Ertz,Curtis Samuel,T.Y. Hilton,Damien Harris,
BN8,,,,,,,,,,
K,Younghoe Koo,Tyler Bass,Harrison Butker,Matt Prater,Joey Slye,Wil Lutz,Jason Sanders,Justin Tucker,Mason Crosby,Ryan Succop
DEF,Los Angeles,Chicago,Cleveland,Seattle,Minnesota,Las Vegas,Indianapolis,Kansas City,Houston,Baltimore
