,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,Russell Wilson,Dak Prescott,Josh Allen,Aaron Rodgers,Patrick Mahomes,Jared Goff,Lamar Jackson,Matthew Stafford,Deshaun Watson,Drew Brees
WR1,Terry McLaurin,Cooper Kupp,DK Metcalf,Mike Evans,Adam Thielen,CeeDee Lamb,Allen Robinson II,Stefon Diggs,Odell Beckham Jr.,DeAndre Hopkins
WR2,Kenny Golladay,Julio Jones,Calvin Ridley,Tyler Boyd,Amari Cooper,Mecole Hardman,Michael Gallup,Will Fuller V,DeVante Parker,Justin Jefferson
RB1,Miles Sanders,Alvin Kamara,Joe Mixon,Aaron Jones,Clyde Edwards-Helaire,Kenyan Drake,Nick Chubb,Austin Ekeler,Ezekiel Elliott,Melvin Gordon III
RB2,David Johnson,Josh Jacobs,Dalvin Cook,David Montgomery,Darrell Henderson Jr.,Mike Davis,Devin Singletary,Todd Gurley II,James Robinson,Jeff Wilson Jr.
TE,Darren Waller,T.J. Hockenson,Mike Gesicki,George Kittle,Jordan Akins,Zach Ertz,Mark Andrews,Noah Fant,Hunter Henry,Dalton Schultz
W/R/T,Robert Woods,Jonathan Taylor,Jerry Jeudy,Travis Kelce,Tyler Lockett,Tyler Higbee,T.Y. Hilton,DJ Moore,Kareem Hunt,Tyreek Hill
BN1,Kyler Murray,Hayden Hurst,DJ Chark Jr.,Julian Edelman,Ronald Jones II,Davante Adams,Preston Williams,Cam Newton,Brandin Cooks,Jerick McKinnon
BN2,Russell Gage,Marquise Brown,Derrick Henry,Joe Burrow,Jonnu Smith,Darius Slayton,Keelan Cole,Chris Carson,Baker Mayfield,James Conner
BN3,Jamison Crowder,Emmanuel Sanders,Matt Ryan,A.J. Green,John Brown,Leonard Fournette,Marvin Jones Jr.,JuJu Smith-Schuster,Tony Pollard,Malcolm Brown
BN4,Antonio Gibson,Chase Edmonds,Diontae Johnson,Darrel Williams,Keenan Allen,Nyheim Hines,Zack Moss,A.J. Brown,Brandon Aiyuk,Joshua Kelley
BN5,Devonta Freeman,Robby Anderson,Christian Kirk,Jamaal Williams,Mark Ingram II,Tom Brady,James White,D'Andre Swift,Corey Davis,Sammy Watkins
BN6,Deebo Samuel,Carlos Hyde,Myles Gaskin,Alexander Mattison,Marquez Valdes-Scantling,Anthony Miller,Tee Higgins,J.K. Dobbins,Austin Hooper,Greg Ward
BN7K,,,,,,,,,,
DEF,San Francisco,Indianapolis,Buffalo,Los Angeles,Seattle,Arizona,Tampa Bay,New Orleans,Denver,Baltimore
K,Sam Sloman,Ka'imi Fairbairn,Zane Gonzalez,Wil Lutz,Robbie Gould,Matt Prater,Greg Zuerlein,Justin Tucker,Mason Crosby,Rodrigo Blankenship
BN7,Harrison Butker,Pittsburgh,Kansas City,Brian Hill,Gardner Minshew II,New England,,Jarvis Landry,Hunter Renfrow,Giovani Bernard
