,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Russell Wilson,Matt Ryan,Josh Allen,Aaron Rodgers,Patrick Mahomes,Tom Brady,Carson Wentz,Kyler Murray,Deshaun Watson,Drew Brees
WR1,Kenny Golladay,Julio Jones,Calvin Ridley,Mike Evans,Amari Cooper,CeeDee Lamb,Travis Fulgham,Stefon Diggs,Odell Beckham Jr.,Tyreek Hill
WR2,Terry McLaurin,Robby Anderson,DK Metcalf,Tyler Boyd,Keenan Allen,Davante Adams,Tee Higgins,Will Fuller V,Brandin Cooks,Chris Godwin
RB1,David Johnson,Alvin Kamara,Derrick Henry,David Montgomery,Clyde Edwards-Helaire,Kenyan Drake,Devin Singletary,Todd Gurley II,Ezekiel Elliott,James Conner
RB2,Antonio Gibson,Josh Jacobs,Phillip Lindsay,Jamaal Williams,Ronald Jones II,Mike Davis,Justin Jackson,Chris Carson,Kareem Hunt,Melvin Gordon III
TE,Darren Waller,T.J. Hockenson,Hayden Hurst,George Kittle,Jonnu Smith,Jimmy Graham,Eric Ebron,Jared Cook,Hunter Henry,Richard Rodgers
W/R/T,A.J. Brown,Cooper Kupp,DJ Chark Jr.,Travis Kelce,Tyler Lockett,Boston Scott,Allen Robinson II,DJ Moore,James Robinson,DeAndre Hopkins
BN1,Cam Newton,Ben Roethlisberger,Joe Mixon,Aaron Jones,Chase Claypool,Tyler Higbee,James White,Noah Fant,Michael Thomas,Jerick McKinnon
BN2,Robert Tonyan,Chase Edmonds,Diontae Johnson,Alexander Mattison,John Brown,Darius Slayton,Mark Andrews,D'Andre Swift,DeVante Parker,Justin Jefferson
BN3,Jamison Crowder,Jonathan Taylor,Myles Gaskin,Brian Hill,Adam Thielen,Jared Goff,Lamar Jackson,Trey Burton,Cole Beasley,Joshua Kelley
BN4,Robert Woods,Marquise Brown,Jerry Jeudy,Joe Burrow,Darrell Henderson Jr.,Mecole Hardman,Michael Gallup,JuJu Smith-Schuster,Baker Mayfield,Antonio Brown
BN5,Le'Veon Bell,Emmanuel Sanders,Dalvin Cook,Julian Edelman,Mark Ingram II,Leonard Fournette,T.Y. Hilton,J.K. Dobbins,Brandon Aiyuk,Christian Kirk
BN6,Giovani Bernard,J.D. McKissic,Justin Herbert,A.J. Green,Gardner Minshew II,Anthony Miller,Zack Moss,Keelan Cole,Damien Harris,Tre'Quan Smith
BN7,San Francisco,Pittsburgh,Deebo Samuel,Indianapolis,Latavius Murray,Henry Ruggs III,Laviska Shenault Jr.,Justin Tucker,Jarvis Landry,Baltimore
BN8,,,,,,,,,,
K,Harrison Butker,Wil Lutz,Zane Gonzalez,Matt Prater,Robbie Gould,Randy Bullock,Greg Zuerlein,Ka'imi Fairbairn,Jake Elliott,Younghoe Koo
DEF,Buffalo,Philadelphia,Kansas City,Los Angeles,Chicago,New England,Tampa Bay,Carolina,Los Angeles,New Orleans
