,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,Russell Wilson,Dak Prescott,Justin Herbert,Joe Burrow,Patrick Mahomes,Jared Goff,Lamar Jackson,Kyler Murray,Deshaun Watson,Drew Brees
WR1,Terry McLaurin,Cooper Kupp,DK Metcalf,Mike Evans,Adam Thielen,CeeDee Lamb,Allen Robinson II,Stefon Diggs,Odell Beckham Jr.,DeAndre Hopkins
WR2,Robert Woods,Robby Anderson,Calvin Ridley,Tyler Boyd,Amari Cooper,Darius Slayton,Michael Gallup,JuJu Smith-Schuster,Cole Beasley,Tyreek Hill
RB1,Miles Sanders,Alvin Kamara,Joe Mixon,David Montgomery,Clyde Edwards-Helaire,Kenyan Drake,Justin Jackson,Todd Gurley II,Ezekiel Elliott,James Conner
RB2,David Johnson,Josh Jacobs,Dalvin Cook,Brian Hill,Ronald Jones II,Mike Davis,Devin Singletary,Chris Carson,Kareem Hunt,Jerick McKinnon
TE,Darren Waller,Hayden Hurst,Mike Gesicki,Travis Kelce,Jonnu Smith,Zach Ertz,Mark Andrews,Greg Olsen,Hunter Henry,Evan Engram
W/R/T,Antonio Gibson,Jonathan Taylor,Mike Williams,George Kittle,Tyler Lockett,Tyler Higbee,T.Y. Hilton,DJ Moore,James Robinson,Justin Jefferson
BN1,Jamison Crowder,Julio Jones,Derrick Henry,Aaron Jones,Anthony Firkser,Mecole Hardman,D'Ernest Johnson,Will Fuller V,DeVante Parker,Melvin Gordon III
BN2,Kenny Golladay,T.J. Hockenson,Josh Allen,Aaron Rodgers,Darrell Henderson Jr.,Davante Adams,James White,Noah Fant,Brandin Cooks,Dalton Schultz
BN3,Devonta Freeman,Marquise Brown,Jerry Jeudy,Julian Edelman,John Brown,Leonard Fournette,Marvin Jones Jr.,Matthew Stafford,Baker Mayfield,Jeff Wilson Jr.
BN4,Deebo Samuel,Emmanuel Sanders,DJ Chark Jr.,A.J. Green,Keenan Allen,Nyheim Hines,Zack Moss,D'Andre Swift,Brandon Aiyuk,Malcolm Brown
BN5,A.J. Brown,Chase Edmonds,Diontae Johnson,Darrel Williams,Mark Ingram II,Tom Brady,Tee Higgins,J.K. Dobbins,Austin Hooper,Joshua Kelley
BN6,Raheem Mostert,Cam Akers,Myles Gaskin,Jamaal Williams,Gardner Minshew II,Anthony Miller,Laviska Shenault Jr.,Jarvis Landry,Hunter Renfrow,Sammy Watkins
BN7K,,,,,,,,,,
DEF,San Francisco,Pittsburgh,Kansas City,Los Angeles,Seattle,Arizona,Tampa Bay,New Orleans,Cleveland,Baltimore
BN7,Robert Tonyan,Indianapolis,Buffalo,Alexander Mattison,Latavius Murray,New England,Scotty Miller,Russell Gage,Damien Harris,Tony Pollard
K,Harrison Butker,Stephen Gostkowski,Zane Gonzalez,Wil Lutz,Robbie Gould,Joey Slye,Greg Zuerlein,Justin Tucker,Jason Myers,Rodrigo Blankenship
