,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--,--hidden--
QB,Russell Wilson,Dak Prescott,Matt Ryan,Joe Burrow,Patrick Mahomes,Carson Wentz,Lamar Jackson,Cam Newton,Deshaun Watson,Drew Brees
WR1,Terry McLaurin,Julio Jones,DK Metcalf,Julian Edelman,Adam Thielen,Davante Adams,Allen Robinson II,DJ Moore,Michael Thomas,Chris Godwin
WR2,Jamison Crowder,Cooper Kupp,Calvin Ridley,Tyler Boyd,Amari Cooper,Darius Slayton,T.Y. Hilton,JuJu Smith-Schuster,Odell Beckham Jr.,Tyreek Hill
RB1,David Johnson,Alvin Kamara,Joe Mixon,Aaron Jones,Clyde Edwards-Helaire,Saquon Barkley,Christian McCaffrey,Austin Ekeler,Ezekiel Elliott,Melvin Gordon III
RB2,Raheem Mostert,Josh Jacobs,Derrick Henry,Chris Thompson,Mark Ingram II,Kenyan Drake,Nick Chubb,Chris Carson,Kareem Hunt,James Conner
TE,Darren Waller,Hayden Hurst,Mike Gesicki,Travis Kelce,Rob Gronkowski,Zach Ertz,Mark Andrews,Noah Fant,Hunter Henry,Jack Doyle
W/R/T,Robert Woods,Jonathan Taylor,Dalvin Cook,George Kittle,Keenan Allen,Tyler Higbee,Michael Gallup,Todd Gurley II,DeVante Parker,DeAndre Hopkins
BN1,Kenny Golladay,Marquise Brown,Josh Allen,David Montgomery,Tyler Lockett,Courtland Sutton,Devin Singletary,A.J. Brown,Brandin Cooks,Evan Engram
BN2,Le'Veon Bell,Jared Cook,DJ Chark Jr.,Mike Evans,Mecole Hardman,Leonard Fournette,Zack Moss,D'Andre Swift,Latavius Murray,Phillip Lindsay
BN3,Kyler Murray,Jordan Howard,Diontae Johnson,A.J. Green,Matt Breida,CeeDee Lamb,Sony Michel,J.K. Dobbins,Baker Mayfield,Justin Jackson
BN4,Cam Akers,Sterling Shepard,Tarik Cohen,Aaron Rodgers,James White,Tom Brady,Boston Scott,Ben Roethlisberger,James Robinson,Benny Snell Jr.
BN5,Antonio Gibson,Emmanuel Sanders,Matthew Stafford,Darrel Williams,John Brown,Bryce Love,Marvin Jones Jr.,Stefon Diggs,Austin Hooper,Justin Jefferson
BN6,Jalen Reagor,Chase Edmonds,Christian Kirk,Jamaal Williams,Marlon Mack,DeSean Jackson,Preston Williams,Will Fuller V,Tony Pollard,Allen Lazard
BN7,New England,Henry Ruggs III,Jerry Jeudy,Alexander Mattison,Ronald Jones II,Nyheim Hines,Tampa Bay,Jarvis Landry,Parris Campbell,Baltimore
BN8,,,,,,,,,,
K,Harrison Butker,Wil Lutz,Zane Gonzalez,Jason Myers,Robbie Gould,Matt Prater,Greg Zuerlein,Justin Tucker,Michael Badgley,Younghoe Koo
DEF,San Francisco,Pittsburgh,Kansas City,Indianapolis,Minnesota,Buffalo,Philadelphia,New Orleans,Los Angeles,Chicago
