,Save yo monies,HingleMcCringleberry,Matt's Team,Jay's Team,Wilma's Team,Chris's Team,Cameron Poe,If I die I die,Dookie King,All I do is GodWin
QB,Russell Wilson,Justin Herbert,Matthew Stafford,Aaron Rodgers,Patrick Mahomes,Tom Brady,Lamar Jackson,Kyler Murray,Ben Roethlisberger,Cam Newton
WR1,Terry McLaurin,Julio Jones,DK Metcalf,Mike Evans,Keenan Allen,Davante Adams,Jamison Crowder,Will Fuller V,Michael Thomas,DeAndre Hopkins
WR2,A.J. Brown,Cooper Kupp,Diontae Johnson,Tyler Boyd,Adam Thielen,Mike Williams,Tee Higgins,DJ Moore,DeVante Parker,Justin Jefferson
RB1,Miles Sanders,Alvin Kamara,Derrick Henry,Aaron Jones,Ronald Jones II,Leonard Fournette,Nick Chubb,Rex Burkhead,James Robinson,James Conner
RB2,Giovani Bernard,Josh Jacobs,Dalvin Cook,Jamaal Williams,Clyde Edwards-Helaire,Mike Davis,Antonio Gibson,Todd Gurley II,Kareem Hunt,Kalen Ballage
TE,Darren Waller,Hayden Hurst,T.J. Hockenson,Travis Kelce,Jonnu Smith,Robert Tonyan,Mark Andrews,Noah Fant,Hunter Henry,Rob Gronkowski
W/R/T,Nyheim Hines,Robby Anderson,Calvin Ridley,Marvin Jones Jr.,Tyler Lockett,Jakobi Meyers,J.D. McKissic,JuJu Smith-Schuster,Ezekiel Elliott,Tyreek Hill
BN1,Robert Woods,Jerry Jeudy,Duke Johnson,Sammy Watkins,Darrell Henderson Jr.,Evan Engram,Travis Fulgham,Gus Edwards,Deshaun Watson,Melvin Gordon III
BN2,Kenny Golladay,Eric Ebron,Josh Allen,A.J. Green,Amari Cooper,Darius Slayton,Allen Robinson II,J.K. Dobbins,Brandin Cooks,Antonio Brown
BN3,Carlos Hyde,Chase Edmonds,Joe Mixon,Brian Hill,Chase Claypool,Phillip Lindsay,Laviska Shenault Jr.,D'Andre Swift,Jarvis Landry,Jerick McKinnon
BN4,Le'Veon Bell,Matt Ryan,DJ Chark Jr.,Alexander Mattison,John Brown,Jimmy Graham,Zack Moss,Stefon Diggs,Austin Hooper,Chris Godwin
BN5,Jalen Reagor,Jonathan Taylor,Mike Gesicki,Kirk Cousins,Mark Ingram II,CeeDee Lamb,Curtis Samuel,Chris Carson,Ryan Tannehill,Christian Kirk
BN6,Michael Pittman Jr.,Sterling Shepard,La'Mical Perine,Indianapolis,Jordan Wilkins,Kenyan Drake,Wayne Gallman Jr.,Keelan Cole Sr.,Damien Harris,Latavius Murray
BN7,Christian McCaffrey,Emmanuel Sanders,Marquise Brown,,,Mecole Hardman,Salvon Ahmed,Taysom Hill,Sony Michel,Allen Lazard
BN8,,,,,,,,,,
K,Younghoe Koo,Harrison Butker,Rodrigo Blankenship,Matt Prater,Joey Slye,Wil Lutz,Chris Boswell,Justin Tucker,Mason Crosby,Ryan Succop
DEF,Los Angeles,Pittsburgh,Miami,Minnesota,Atlanta,Cleveland,Tampa Bay,Houston,New Orleans,Baltimore
